durSG	nVV	nSil	z
1638	6	7	4.60
1400	5	5	6.55
1256	4	5	7.17
3723	9	13	28.50
1447	7	9	3.67
2621	7	8	9.82
2659	6	9	12.84
1257	5	5	0.44
2267	7	11	9.52
924	4	5	0.80
703	3	5	-0.18
1870	8	9	6.12
1363	8	9	0.63
2396	9	13	9.49
3591	10	10	11.26
3396	7	8	59.92
948	4	4	0.58
1785	7	10	3.21
1948	6	6	7.43
715	4	5	0.73
2660	8	10	12.54
1735	7	8	5.42
1867	4	7	8.33
3061	11	16	4.46
1882	8	8	2.42
1725	7	8	6.79
1043	4	4	2.97
847	5	5	1.20
1599	5	7	10.16
1523	6	7	2.97
831	4	4	1.96
576	4	4	0.61
2740	11	13	7.76
2147	7	11	5.76
1540	5	5	8.81
2461	11	14	4.30
1569	7	8	-0.55
2038	7	9	12.21
893	4	5	0.58
1866	6	7	19.66
1012	6	7	-0.32
804	4	5	5.32
3275	9	13	36.51
2431	8	11	16.85
3778	8	11	16.14
1138	4	6	2.80
2212	8	9	13.62
1436	5	5	2.70
1193	5	5	1.39
1950	7	9	5.07
3014	8	11	12.86
2024	6	7	13.92
2434	8	9	11.63
3518	10	11	34.06
1457	6	8	4.42
3153	10	10	37.94
1990	4	6	11.12
1930	8	10	2.21
1771	8	12	0.78
1386	5	7	6.15
718	5	5	-0.42
1332	6	7	2.11
1763	4	4	12.49
1737	5	7	6.26
2095	5	5	13.46
743	4	4	1.27
355	3	3	-0.67
1875	6	10	3.71
778	4	4	-0.07
1307	8	10	-0.77
2168	10	11	13.47
1390	6	8	9.95
1142	4	4	6.73
4134	9	14	17.74
1628	7	9	0.72
780	4	4	2.84
2025	8	10	3.38
2748	9	10	12.99
2156	8	9	7.45
3107	6	9	31.66
2617	8	9	7.42
2354	9	11	13.80
2138	7	7	8.38
1888	5	6	12.36
1810	9	12	-0.77
1504	4	6	18.24
1765	7	10	0.96
1392	6	7	11.26
1884	6	8	8.92
1993	7	8	18.16
1728	4	6	9.16
1118	5	6	5.46
847	4	4	0.38
590	3	3	0.54
1794	4	5	9.01
912	4	6	1.14
1037	7	7	-0.97
1582	6	6	4.32
1008	4	7	0.16
1430	6	6	4.42
2439	7	10	30.00
1773	6	8	6.74
1398	6	7	1.12
2385	8	10	13.39
2464	7	7	6.43
2103	9	11	0.07
1066	6	7	0.11
1234	4	4	16.77
1895	9	12	9.46
547	4	4	0.54
2187	10	11	7.04
1345	6	6	1.15
1569	8	8	4.51
