phase	order	beat
-26.64	crescdecresc	30
-9.72	crescdecresc	30
10.44	crescdecresc	30
3.78	crescdecresc	30
23.76	crescdecresc	30
-48.24	crescdecresc	30
2.7	crescdecresc	45
-32.67	crescdecresc	45
4.86	crescdecresc	45
-3.24	crescdecresc	45
5.13	crescdecresc	45
2.43	crescdecresc	45
-12.15	crescdecresc	45
-32.13	crescdecresc	45
-39.15	crescdecresc	45
-7.02	crescdecresc	45
-10.44	crescdecresc	60
4.32	crescdecresc	60
-15.84	crescdecresc	60
-24.84	crescdecresc	60
-13.32	crescdecresc	60
-12.24	crescdecresc	60
-14.04	crescdecresc	60
-6.48	crescdecresc	60
-7.56	crescdecresc	60
9	crescdecresc	60
6.3	crescdecresc	75
-5.85	crescdecresc	75
-7.65	crescdecresc	75
10.8	crescdecresc	75
11.7	crescdecresc	75
8.1	crescdecresc	75
-8.55	crescdecresc	75
-3.6	crescdecresc	75
-10.8	crescdecresc	75
-10.35	crescdecresc	75
-14.04	crescdecresc	90
-11.88	crescdecresc	90
-8.1	crescdecresc	90
15.12	crescdecresc	90
18.36	crescdecresc	90
15.12	crescdecresc	90
11.34	crescdecresc	90
12.42	crescdecresc	90
-10.26	crescdecresc	90
-11.88	crescdecresc	90
-18.9	crescdecresc	105
25.83	crescdecresc	105
32.76	crescdecresc	105
44.73	crescdecresc	105
15.12	crescdecresc	105
-21.42	crescdecresc	105
-18.9	crescdecresc	105
14.49	crescdecresc	105
6.93	crescdecresc	105
9.45	crescdecresc	105
-20.16	crescdecresc	120
-27.36	crescdecresc	120
-46.8	crescdecresc	120
22.32	crescdecresc	120
37.44	crescdecresc	120
50.4	crescdecresc	120
49.68	crescdecresc	120
45.36	crescdecresc	120
36	crescdecresc	120
12.96	crescdecresc	120
8.91	crescdecresc	135
36.45	crescdecresc	135
27.54	crescdecresc	135
18.63	crescdecresc	135
15.39	crescdecresc	135
34.83	crescdecresc	135
47.79	crescdecresc	135
30.78	crescdecresc	135
25.92	crescdecresc	135
12.15	crescdecresc	135
40.5	crescdecresc	150
40.5	crescdecresc	150
18	crescdecresc	150
26.1	crescdecresc	150
35.1	crescdecresc	150
13.5	crescdecresc	150
26.1	crescdecresc	150
35.1	crescdecresc	150
35.1	crescdecresc	150
28.8	crescdecresc	150
71.28	crescdecresc	165
24.75	crescdecresc	165
24.84	crescdecresc	180
17.28	crescdecresc	180
20.52	crescdecresc	180
7.56	crescdecresc	180
12.96	crescdecresc	180
22.23	crescdecresc	195
-5.85	crescdecresc	195
-29.25	crescdecresc	195
16.38	crescdecresc	195
-14.04	crescdecresc	195
8.19	crescdecresc	195
16.38	crescdecresc	195
23.4	crescdecresc	195
43.29	crescdecresc	195
22.23	crescdecresc	195
23.94	crescdecresc	210
37.8	crescdecresc	210
27.72	crescdecresc	210
44.1	crescdecresc	210
11.34	crescdecresc	210
27.72	crescdecresc	210
21.42	crescdecresc	210
15.12	crescdecresc	210
18.9	crescdecresc	210
-18.9	crescdecresc	210
-18.9	crescdecresc	225
-13.5	crescdecresc	225
31.05	crescdecresc	225
33.75	crescdecresc	225
13.5	crescdecresc	225
13.5	crescdecresc	225
-24.3	crescdecresc	225
-22.95	crescdecresc	225
-9.45	crescdecresc	225
-14.85	crescdecresc	225
48.96	crescdecresc	240
17.28	crescdecresc	240
19.89	crescdecresc	255
35.64	crescdecresc	255
42.84	crescdecresc	255
27.54	crescdecresc	255
13.77	crescdecresc	255
11.34	crescdecresc	270
34.02	crescdecresc	270
22.68	crescdecresc	270
-11.34	crescdecresc	270
-19.44	crescdecresc	270
19.44	crescdecresc	270
29.16	crescdecresc	270
